"rule_code","version","seq","join_op","field","op","value"
"RUL-IPD-022","1","0","","ใบเรียกร้องค่าสินไหมทดแทน","ไม่พบ","หรือยังไม่ลงนามผู้เอาประกัน"
"RUL-IPD-022","1","1","OR","สำเนากรมธรรม์ / เลขกรมธรรม์","ไม่พบ","—"
"RUL-IPD-022","1","2","OR","หนังสือยินยอมเปิดเผยข้อมูล","ไม่พบ","—"
"RUL-IPD-023","1","0","","กลุ่ม DRG ที่จัดได้จาก PDx/SDx/Proc","ไม่ตรงกับ","กลุ่มที่ระบุในแฟ้ม 14"
"RUL-IPD-024","1","0","","RW เมื่อรวม SDx ทั้งหมด","มากกว่า","RW เมื่อนับเฉพาะ SDx ที่มีผลตรวจรองรับ"
"RUL-IPD-024","1","1","AND","ส่วนต่าง RW","มากกว่า","เกณฑ์ที่โรงพยาบาลกำหนด"
"RUL-IPD-025","1","0","","RW ของกลุ่มที่ได้จาก PDx ที่เลือก","น้อยกว่า","RW ของกลุ่มที่ได้จาก PDx อื่นที่แฟ้มรองรับ"
"RUL-IPD-026","1","0","","วันนอนที่เบิกได้","อยู่นอกช่วง","จุดตัดล่าง–บนของกลุ่มตามคู่มือ"
"RUL-IPD-027","1","0","","ค่าห้อง/ค่าอาหารต่อวัน (BILLGRCS 02)","มากกว่า","เพดานตามประกาศของกองทุน"
"RUL-IPD-027","1","1","AND","หนังสือยินยอมส่วนเกิน","ไม่พบ","ในแฟ้มผู้ป่วยใน"
"RUL-IPD-028","1","0","","วันที่ยื่นเรียกเก็บ","หลังจาก","กำหนดยื่นตามประกาศของกองทุนนั้น"
"RUL-IPD-029","1","0","","ระยะเวลานับจากรับไว้","มากกว่า","72 ชั่วโมง"
"RUL-IPD-029","1","1","AND","การเปลี่ยนสิทธิผู้จ่าย","ไม่พบ","ในระเบียนการนอน"
