"rule_code","version","status","severity","action","maps_to_nhso","nhso_system","check_key","params_json","blocked_by","doc_id","doc_ref","origin_doc","author_ref","approver_ref","effective_from","effective_to","note","payers","services","source_doc","verified"
"RUL-CLN-011","1","ACTIVE","WARNING","APPROVE","","","","","","DOC-INT-2569-002","ระเบียบภายใน ข้อ 5","","U-006","U-008","2026-02-01","","","UC|OFC","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DRG-015","1","ACTIVE","WARNING","WARN","","","","","","DOC-NHSO-2569-021","ข้อ 6.1","","U-005","U-008","2026-06-15","","","UC|LGO","OPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-006","1","REVIEW","ERROR","FIX","C112","NHSO_DP","leave_day_file15","","","DOC-NHSO-2569-024","ข้อ 7.1","","U-005","","2026-09-01","","","UC|OFC|SSS","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-ELG-008","1","DRAFT","ERROR","FIX","P208","NHSO_DP","","","","DOC-NHSO-2569-015","ข้อ 2.3","","U-004","","2026-09-01","","","UC","OPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-DRG-004","1","RETIRED","WARNING","WARN","P124","NHSO_DP","","","","DOC-NHSO-2568-044","ข้อ 4.1","","U-005","U-008","2025-10-01","2026-07-19","","UC","OPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-REF-001","2","ACTIVE","ERROR","BLOCK","","","","","","DOC-INT-2569-031","ข้อ 4.1–4.3","","U-004","U-008","2026-04-01","","","UC|OFC|SSS|LGO","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-REF-002","1","ACTIVE","ERROR","FIX","C305","NHSO_DP","","","","DOC-INT-2569-031","ข้อ 3.2 และ 6.1","","U-004","U-008","2026-04-01","","","UC|OFC","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-REF-003","1","ACTIVE","ERROR","BLOCK","","","","","","DOC-INT-2569-031","ข้อ 5.1–5.4","","U-007","U-008","2026-05-01","","","UC|OFC|SSS|LGO|EMS","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-FIL-001","1","ACTIVE","ERROR","BLOCK","","","files_required","","","DOC-NHSO-2566-001","ตารางกองทุน × แฟ้ม หน้า 14–16","NHSO Digital Platform Overview · 23 มิ.ย. 2569 · น.14–16","U-005","U-008","2026-08-01","","","UC|OFC|SSS|LGO|EMS","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-FIL-002","1","ACTIVE","ERROR","FIX","","","","","","DOC-NHSO-2566-001","ตารางจำนวนฟิลด์รายแฟ้ม หน้า 12","NHSO Digital Platform Overview · 23 มิ.ย. 2569 · น.12","U-005","U-008","2026-08-01","","","UC|OFC|SSS|LGO|EMS","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-SET-001","1","ACTIVE","WARNING","WARN","","","","","","DOC-NHSO-2569-024","กลุ่มบริการชุดที่ 2 หน้า 13","NHSO Digital Platform Overview · 23 มิ.ย. 2569 · น.13","U-004","U-008","2026-08-01","","","UC|OFC|SSS|LGO|EMS","OPD|IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-VIS-001","1","ACTIVE","ERROR","BLOCK","","","","","","DOC-NHSO-2569-008","เส้นทาง 7 ขั้น ขั้นที่ 4 หน้า 7","NHSO Digital Platform Overview · 23 มิ.ย. 2569 · น.7","U-004","U-008","2026-08-01","","","UC|OFC|SSS|LGO|EMS","OPD|IPD|PP","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-016","1","ACTIVE","ERROR","FIX","C112","NHSO_DP","leave_day_file15","","","DOC-NHSO-2566-001","ตารางกองทุน × แฟ้ม หน้า 14–16 (แฟ้ม 15 มีเงื่อนไข)","NHSO Digital Platform Overview · 23 มิ.ย. 2569 · น.9, น.12","U-005","U-008","2026-07-01","","","UC|OFC|SSS|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-017","1","ACTIVE","ERROR","BLOCK","","","dx_drg_present","","","DOC-INT-2569-041","ระเบียบงานเวชระเบียน ข้อ 2.1","","U-005","U-008","2026-07-01","","","UC|OFC|SSS|LGO|EMS","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-018","1","ACTIVE","WARNING","APPROVE","","","los_outlier","{""band"":""high""}","","DOC-INT-2569-041","ระเบียบงานเวชระเบียน ข้อ 4.3","","U-005","U-008","2026-07-01","","","UC|OFC|SSS|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-019","1","ACTIVE","ERROR","FIX","","","mra_component_present","{""components"":[""discharge_summary_dxop""]}","","DOC-INT-2569-041","ระเบียบงานเวชระเบียน ข้อ 3.1","","U-004","U-008","2026-07-01","","","UC|OFC|SSS|LGO|EMS|PVT","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-020","1","ACTIVE","ERROR","FIX","","","payer_doc_present","{""docs"":[""sss_card""]}","","DOC-INT-2569-042","เงื่อนไขกองทุนประกันสังคม ข้อ 1.2","","U-004","U-008","2026-07-01","","","SSS","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-021","1","ACTIVE","ERROR","BLOCK","C305","NHSO_DP","payer_doc_present","{""docs"":[""approve_code""]}","","DOC-NHSO-2569-008","ข้อ 3.4","","U-004","U-008","2026-07-01","","","OFC","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-022","1","ACTIVE","ERROR","FIX","","","payer_doc_present","{""docs"":[""claim_form"",""policy_doc"",""consent""]}","","DOC-INT-2569-043","เงื่อนไขการเรียกเก็บบริษัทประกัน ข้อ 2.1–2.4","","U-004","U-008","2026-07-01","","","PVT","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-023","1","DRAFT","ERROR","FIX","","","drg_regroup_mismatch","","D4","DOC-DRG-MANUAL","ตารางจับคู่ Dx–DRG (รอเอกสาร)","","U-005","","","","","UC|OFC|SSS|LGO|EMS","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-024","1","DRAFT","WARNING","APPROVE","","","","","D4","DOC-DRG-MANUAL","ตาราง RW รายกลุ่ม (รอเอกสาร)","","U-005","","","","","UC|OFC|SSS|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-025","1","DRAFT","WARNING","WARN","","","drg_downcoding","","D4","DOC-DRG-MANUAL","ตาราง RW รายกลุ่ม (รอเอกสาร)","","U-005","","","","","UC|OFC|SSS|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-026","1","DRAFT","WARNING","APPROVE","","","los_outlier","{""band"":""any""}","D4","DOC-DRG-MANUAL","ตารางจุดตัดวันนอน (รอเอกสาร)","","U-005","","","","","UC|OFC|SSS|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-027","1","DRAFT","ERROR","FIX","","","room_charge_cap","","D6","DOC-FUND-OFC","อัตราค่าห้องและค่าอาหาร (รอเอกสาร)","","U-004","","","","","OFC|LGO","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-028","1","DRAFT","ERROR","BLOCK","","","submit_deadline","","D5","DOC-FUND-DUE","กำหนดเวลายื่นรายกองทุน (รอเอกสาร)","","U-004","","","","","UC|OFC|SSS|LGO|EMS|PVT","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
"RUL-IPD-029","1","DRAFT","ERROR","FIX","","","ucep_72h","","D8","DOC-FUND-UCEP","เงื่อนไข 72 ชั่วโมง (รอเอกสาร)","","U-004","","","","","EMS","IPD","ยกจาก public/js/mock/mock-rules.js (ต้นแบบภายในโรงพยาบาล)","0"
