"fund_key","file_no","requirement","source_doc","source_ref","source_date","verified"
"QOF","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"QOF","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"LTC","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"LTC","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"LTC","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"LTC","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"LTC","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CMHS","12","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"DMHT","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TTM","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"REHAB","13","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"CANCER","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"TELEMED","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"AE","9","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","1","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","2","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","3","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","4","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","5","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","6","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","7","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","8","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","14","REQUIRED","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
"IP","15","CONDITIONAL","NHSO Digital Platform Overview 23.06.2569","น.14-16","2026-06-23","1"
