"system","code","category","level","file_no","description_th","fix_guidance_th","effective_from","effective_to","source_doc","source_ref","source_date","verified"
"ECLAIM","C136","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ข้อมูลผู้ป่วยสิทธิประกันสังคม/ทุพพลภาพ รับบริการก่อน 1 ม.ค 57","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C137","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัสบัตรประชาชนของผู้มีสิทธิไม่สัมพันธ์กับรหัสของผู้ป่วยกรณีใช้สิทธิตัวเอง","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C138","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัสบัตรประชาชนของผู้มีสิทธิไม่สัมพันธ์กับรหัสของผู้ป่วย กรณีใช้ร่วมของบิดาหรือมารดา","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C139","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัสบัตรประชาชนของผู้มีสิทธิไม่สัมพันธ์กับรหัสของผู้ป่วย กรณีใช้สิทธิร่วมของบุตร","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C140","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","AN ซ้ำกับรายที่เคยส่งข้อมูลและตรวจผ่านแล้ว","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C141","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัสบัตรประชาชนของผู้มีสิทธิไม่สัมพันธ์กับรหัสของผู้ป่วย กรณีใช้สิทธิร่วมของคู่สมรส","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C142","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","HN ตรงกับรายที่เคยส่งแล้ว แต่เลขบัตรปชช.13 หลักไม่ตรงกัน","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C143","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","เพศผู้ป่วยที่บันทึกเบิกไม่ตรงกับ สนบท.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C144","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","หน่วยบริการได้ขอยกเลิกข้อมูลดังกล่าวแล้ว","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C145","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัสบัตรประชาชนของผู้มีสิทธิหลักไม่ถูกต้องไม่มีใน สนบท.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C146","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ผลตรวจสอบสถานพยาบาลหลักไม่ตรงสถานพยาบาลในฐานสำนักงานประกันสังคม","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C147","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","รหัส รพ.รักษาไม่ตรงกับรหัส รพ.หลักกรณีเลือกสถานะ รพ.รักษาเป็น maincontractor หรือรหัส รพ.ที่รักษาและรหัส รพ.หลักเป็นรหัสเดียวกัน แต่สถานะรพ.รักษาไม่ใช่ maincontractor","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C148","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ไม่ระบุสถานพยาบาลหลักของผู้ประกันตน","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C149","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","สิทธิประกันสังคม ไม่ระบุ maincontractor","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C150","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ผู้ป่วยเข้ารับการรักษาในช่วงเวลาเดียวกันในหน่วยบริการมากกว่า 1 แห่ง (ช่วงเวลาทับซ้อน)","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C151","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ช่วงการเข้ารับบริการของผู้ป่วยรายเดียวกัน ในหน่วยบริการเดียวกัน มีวัน/เวลาทับซ้อนกันของผู้ป่วยในกับผู้ป่วยใน หรือผู้ป่วยในกับผู้ป่วยนอก","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C152","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","ส่งข้อมูลเบิกกรณีผู้ป่วยนอกซ้ำซ้อน ในโรคเดียวกัน","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C153","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","เด็กแรกเกิด นน.น้อยกว่า 0.5 กก. หรือ มากกว่า 6 กก.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C154","สิทธิ/หนังสือรับรอง/ประกันสังคม","ERROR","","สิทธิประกันสังคม ที่ส่งข้อมูลก่อนวันที่ สำนักงานประกันสังคม มีประกาศให้ส่งข้อมูลให้ สปสช.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C155","หน่วยบริการ","ERROR","","ไม่ใช่หน่วยบริการในฐานเบิกจ่ายตรงของ สปสช.","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C156","หน่วยบริการ","ERROR","","รหัสสถานพยาบาลที่รักษาไม่มีในฐานข้อมูลหน่วยบริการ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C157","หน่วยบริการ","ERROR","","หน่วยบริการประจำของผู้ป่วยไม่อยู่ในจังหวัดที่เกิดอุทกภัย","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C158","หน่วยบริการ","ERROR","","สิทธิเจ้าหน้าที่ สปสช.อายุน้อยกว่าเกณฑ์ที่กำหนด","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C159","หน่วยบริการ","ERROR","","รหัสโรงพยาบาลที่รับส่งต่อ ไม่มีในฐานทะเบียนหน่วยบริการ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C160","หน่วยบริการ","ERROR","","ไม่มีรหัสประเภทการบริการ (svctype)","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C161","หน่วยบริการ","ERROR","","รหัสประเภทการบริการ (svctype) ใช้ไม่ได้ หรือไม่มีใน lookup","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C162","หน่วยบริการ","ERROR","","พบว่า Serial Number ที่บันทึกถูกใช้ในระบบแล้ว","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C163","หน่วยบริการ","ERROR","","ไม่บันทึก Serail NO. ของอุปกรณ์เลนส์แก้วตาเทียมที่ใช้","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C164","หน่วยบริการ","ERROR","","บันทึกรหัสอุปกรณ์ ไม่ตรงตามรายการอุปกรณ์ที่ประกาศในปีงบประมาณ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C165","หน่วยบริการ","ERROR","","เกิดจากมีการขอเบิกกรณี Instrument และ OPAE แต่ค่าบริการในส่วนของ Instrument เท่ากับค่าบริการรวม","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C166","หน่วยบริการ","ERROR","","กรณีผู้ป่วยนอกไม่มีการบันทึกข้อมูลเบิกชดเชย ทั้งในส่วนของ OPAE , HC, Inst. หรืออื่นๆ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C167","หน่วยบริการ","ERROR","","เกิดจากบันทึกเบิกอวัยวะเทียม/อุปกรณ์บำบัดรักษาไม่ตรงตามเงื่อนไขที่กำหนด","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C168","หน่วยบริการ","ERROR","","เบิกค่าพาหนะไม่ตรงกับสิทธิประโยชน์","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C169","หน่วยบริการ","ERROR","","เกิดจากมีการบันทึกข้อมูลค่าใช้จ่ายเกี่ยวกับค่าพาหนะส่งต่อแต่ไม่ได้ทำการบันทึกข้อมูลระยะทาง","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C170","หน่วยบริการ","ERROR","","ยอดรวมค่ารักษาพยาบาล มีค่าน้อยกว่ายอดเรียกเก็บ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C171","หน่วยบริการ","ERROR","","เกิดจากมีการบันทึกข้อมูลค่าใช้จ่ายเกี่ยวกับค่ารถส่งต่อ แต่ไม่ได้บันทึกข้อมูลหน่วยบริการรับหรือส่งต่อ","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C172","หน่วยบริการ","ERROR","","เกิดจากมีการบันทึกรหัสเบิก IP002-IP006 ในหน้าผู้ป่วยนอก เมนูค่ารักษาพยาบาล ช่องรายการอวัยวะเทียม/อุปกรณ์บำบัดรักษา ซึ่งรหัสนี้จะเบิกได้เฉพาะผู้ป่วยในเท่านั้น","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C173","หน่วยบริการ","ERROR","","เกิดจากมีการให้รหัสอุปกรณ์ที่ขอเบิกแต่ไม่ได้ทำการบันทึกจำนวนชิ้นหรือจำนวนเงินที่ขอเบิกต่อชิ้น","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C174","หน่วยบริการ","ERROR","","เกิดจากมีการให้รหัสโครงการพิเศษ Z34007 ซึ่งเป็นกรณีคลอดบุตรผู้ป่วยต้องเป็นเพศหญิงเท่านั้น","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C175","หน่วยบริการ","ERROR","","บันทึกจำนวนชิ้นของอุปกรณ์มากกว่าที่กำหนด","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
"ECLAIM","C176","หน่วยบริการ","ERROR","","กรณีผู้ป่วยนอกเลือกเงื่อนไขการเรียกเก็บ (A/E/N) แต่ไม่มียอดค่ารักษาพยาบาล","","","","รายละเอียดการผิดพลาดของข้อมูล (รหัสติด C) — สสจ.ขอนแก่น รวบรวมจากระบบ e-Claim สปสช.","uckkpho.com/uc/1313","","1"
