code,term_en,term_th,operative,source_doc,source_ref,source_date,verified
47.09,Other appendectomy,ผ่าตัดไส้ติ่ง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
51.23,Laparoscopic cholecystectomy,ผ่าตัดถุงน้ำดีผ่านกล้อง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
53.00,"Unilateral repair of inguinal hernia, not otherwise specified",ผ่าตัดไส้เลื่อนขาหนีบข้างเดียว,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
60.29,Other transurethral prostatectomy,ผ่าตัดต่อมลูกหมากผ่านท่อปัสสาวะ,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
68.49,Other and unspecified total abdominal hysterectomy,ผ่าตัดมดลูกออกทั้งหมดทางหน้าท้อง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
73.59,Other manually assisted delivery,ทำคลอดปกติ,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
74.1,Low cervical cesarean section,ผ่าตัดคลอดแนวขวางส่วนล่าง,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
79.15,"Closed reduction of fracture with internal fixation, femur",จัดกระดูกต้นขาแบบปิดพร้อมยึดตรึงภายใน,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
79.35,"Open reduction of fracture with internal fixation, femur",ผ่าตัดจัดกระดูกต้นขาพร้อมยึดตรึงภายใน,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
81.51,Total hip replacement,เปลี่ยนข้อสะโพกเทียมทั้งข้อ,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
81.54,Total knee replacement,เปลี่ยนข้อเข่าเทียมทั้งข้อ,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
86.22,"Excisional debridement of wound, infection, or burn",ตัดเนื้อตายของแผล,1,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
88.72,Diagnostic ultrasound of heart,ตรวจหัวใจด้วยคลื่นเสียงสะท้อน,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
96.04,Insertion of endotracheal tube,ใส่ท่อช่วยหายใจ,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
96.71,Continuous invasive mechanical ventilation for less than 96 consecutive hours,ใช้เครื่องช่วยหายใจต่อเนื่องน้อยกว่า 96 ชั่วโมง,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
96.72,Continuous invasive mechanical ventilation for 96 consecutive hours or more,ใช้เครื่องช่วยหายใจต่อเนื่องตั้งแต่ 96 ชั่วโมง,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
99.04,Transfusion of packed cells,ให้เลือดชนิดเม็ดเลือดแดงอัดแน่น,0,ชุดคัดย่อเพื่อเดโม — โครงตาม ICD-9-CM ที่ใช้จัดกลุ่ม DRG ไม่ใช่แคตตาล็อกเต็ม,,,0
