"doc_id","kind","status","title","issuer","doc_no","published","effective_from","effective_to","version","certified_by","file_path","page_unit","provides","note","source_doc","verified"
"DOC-NHSO-2569-019","MANUAL","PRESENT","คู่มือการให้รหัส ICD-10 / ICD-9-CM สำหรับการเบิกจ่ายชดเชย","สปสช. ร่วมกับสมาคมเวชสถิติ","คู่มือ Coding ฉบับ 2569","2026-04-20","2026-05-15","","2","U-006","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2569-021","ANNOUNCE","PRESENT","เกณฑ์จำนวนยาต่อครั้งสำหรับผู้ป่วยนอกโรคเรื้อรัง","สำนักงานหลักประกันสุขภาพแห่งชาติ","สปสช. 08/2569","2026-06-01","2026-06-15","","1","U-006","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2569-024","DATASET","PRESENT","โครงสร้างแฟ้มข้อมูลมาตรฐานเพื่อการเบิกจ่ายชดเชย (Standard Dataset) 15 แฟ้ม","สำนักงานหลักประกันสุขภาพแห่งชาติ","Standard Dataset v2569.2","2026-07-15","2026-09-16","","2","U-002","","น.","","(แทนที่ DOC-NHSO-2566-001)","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2566-001","ANNOUNCE","PRESENT","ประกาศ สปสช. เรื่อง โครงสร้างชุดข้อมูลมาตรฐานสำหรับการจัดทำระบบข้อมูลการให้บริการสาธารณสุข เพื่อขอรับค่าใช้จ่ายเพื่อบริการสาธารณสุข กรณีการจ่ายตามรายการบริการ พ.ศ. 2566","เลขาธิการสำนักงานหลักประกันสุขภาพแห่งชาติ","ประกาศ Standard data set (Fee Schedule) พ.ศ. 2566","2023-01-01","2023-01-01","","1","U-002","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-MAN-2569-030","MANUAL","PRESENT","NHSO Digital Platform Overview (แพลตฟอร์มการบริหารจัดการธุรกรรมการเบิกจ่ายชดเชย)","สำนักงานหลักประกันสุขภาพแห่งชาติ","NHSO.Digital.Platform.Overview.23.06.2569","2026-06-23","2026-06-23","","1","U-002","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-MAN-2569-031","MANUAL","PRESENT","โครงการ NHSO Digital Platform — Communication (V4)","สำนักงานหลักประกันสุขภาพแห่งชาติ","NHSO Digital Platform Communication · 3 ส.ค. 2569","2026-08-03","2026-08-03","","4","U-002","","น.","","รหัสสถานะและรหัสข้อผิดพลาดที่ถอดจากภาพสไลด์ยังยืนยันกับเนื้อความไม่ได้ — รอแคตตาล็อก ""Error ที่พบบ่อย"" ที่ สปสช. แจ้งว่าจะเผยแพร่","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-PENDING-ERR","ANNOUNCE","MISSING","แคตตาล็อก ""Error ที่พบบ่อย"" พร้อมแนวทางแก้ไข (รอ สปสช. เผยแพร่)","สำนักงานหลักประกันสุขภาพแห่งชาติ","—","","","","0","","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-DRG-MANUAL","MANUAL","MISSING","คู่มือการจัดกลุ่มวินิจฉัยโรคร่วม (Thai DRG) — รอเอกสารฉบับที่โรงพยาบาลใช้","สำนักงานกลางสารสนเทศบริการสุขภาพ (สกส.)","—","","","","0","","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-FUND-OFC","ANNOUNCE","MISSING","หลักเกณฑ์และอัตราค่ารักษาพยาบาลผู้ป่วยใน สิทธิเบิกจ่ายตรง — รอเอกสาร","กรมบัญชีกลาง กระทรวงการคลัง","—","","","","0","","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-FUND-DUE","ANNOUNCE","MISSING","กำหนดเวลายื่นเรียกเก็บผู้ป่วยในรายกองทุน — รอเอกสาร","สปสช. / กรมบัญชีกลาง / สปส. / บริษัทประกัน","—","","","","0","","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-FUND-UCEP","ANNOUNCE","MISSING","หลักเกณฑ์การกำหนดค่าใช้จ่ายกรณีฉุกเฉินวิกฤต (UCEP) — รอเอกสาร","สถาบันการแพทย์ฉุกเฉินแห่งชาติ / สปสช.","—","","","","0","","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-NHSO-2568-044","ANNOUNCE","PRESENT","ประกาศหลักเกณฑ์การเบิกจ่ายค่ายา (ฉบับก่อน — ยกเลิกแล้ว)","สำนักงานหลักประกันสุขภาพแห่งชาติ","สปสช. 09/2568","2025-09-01","2025-10-01","2026-07-19","1","U-008","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-AUD-2569-003","AUDIT","PRESENT","สรุปผลการตรวจสอบเวชระเบียน (Medical Audit) รอบ ก.พ.–มิ.ย. 2569","ฝ่ายตรวจสอบภายใน","MA-2569-Q2","2026-07-10","2026-07-10","","1","U-010","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-INT-2569-002","INTERNAL","PRESENT","ระเบียบภายในว่าด้วยการใช้ยากลุ่มพิเศษและการรับรองโดยแพทย์ผู้เชี่ยวชาญ","องค์กรแพทย์","ระเบียบ รพ. 03/2569","2026-01-15","2026-02-01","","1","U-006","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-INT-2569-004","INTERNAL","PRESENT","รายการเอกสารประกอบการเบิกตามประเภทเคส","ศูนย์จัดเก็บรายได้","แนวปฏิบัติ ศจร. 01/2569","2026-02-20","2026-03-01","","2","U-004","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-INT-2569-009","INTERNAL","PRESENT","แนวทางการชี้แจงรายการก่อนส่งเบิกและการอุทธรณ์ผลตัดจ่าย","ศูนย์จัดเก็บรายได้","แนวปฏิบัติ ศจร. 04/2569","2026-06-25","2026-07-01","","1","U-004","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-MAN-2569-011","MANUAL","PRESENT","คู่มือการใช้งาน NHSO Digital Platform สำหรับหน่วยบริการ","สำนักงานหลักประกันสุขภาพแห่งชาติ","NHSO Communication V4","2026-08-03","2026-08-03","","4","U-002","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-INT-2569-031","INTERNAL","PRESENT","ระเบียบภายในว่าด้วยการส่งต่อผู้ป่วย การขออนุมัติ และการตามจ่าย–เรียกเก็บ","ฝ่ายการเงินและศูนย์จัดเก็บรายได้","ระเบียบ รพ. 11/2569","2026-03-20","2026-04-01","","2","U-007","","น.","","","ยกจาก public/js/mock/mock-knowledge.js","0"
"DOC-INT-2569-041","INTERNAL","MISSING","(ยังไม่มีตัวเอกสาร) DOC-INT-2569-041","","","","","","0","","","น.","","กฎอ้างถึงเอกสารฉบับนี้แต่ยังไม่มีตัวเอกสารในระบบ","สร้างจาก doc_id ที่กฎอ้างถึง","0"
"DOC-INT-2569-042","INTERNAL","MISSING","(ยังไม่มีตัวเอกสาร) DOC-INT-2569-042","","","","","","0","","","น.","","กฎอ้างถึงเอกสารฉบับนี้แต่ยังไม่มีตัวเอกสารในระบบ","สร้างจาก doc_id ที่กฎอ้างถึง","0"
"DOC-INT-2569-043","INTERNAL","MISSING","(ยังไม่มีตัวเอกสาร) DOC-INT-2569-043","","","","","","0","","","น.","","กฎอ้างถึงเอกสารฉบับนี้แต่ยังไม่มีตัวเอกสารในระบบ","สร้างจาก doc_id ที่กฎอ้างถึง","0"
